order_id,customer_id,order_date,order_status,shipping_cost
O9066,C02088,2023-08-23,shipped,17.76
O9067,C00136,2023-12-15,Cancelled,5.51
O9068,C01946,2023-07-26,Cancelled,5.68
O9069,C01918,2023-10-21,Cancelled,13.79
O9070,C01433,2023-05-04,Shipped,18.55
O9071,C01839,2023-05-27,Shipped,26.73
O9072,C02025,2023-05-13,shipped,3.81
O9073,C00418,2023-10-25,shipped,10.45
O9074,C00898,2023-07-15,Shipped,9.96
O9075,C02184,2023-05-15,shipped,19.46
O9076,C00873,2023-08-27,shipped,15.69
O9077,C00265,2023-08-12,Cancelled,28.92
O9078,C01560,2023-03-19,Shipped,4.51
O9079,C01776,2023-03-09,Pending,4.37
O9080,C01425,2023-10-09,Pending,14.67
O9081,C01307,2023-09-04,Shipped,24.75
O9082,C02178,2023-02-08,shipped,21.44
O9083,C00367,2023-11-15,Shipped,20.78
O9084,C00052,2023-05-03,Shipped,19.66
O9085,C01866,2023-10-12,shipped,27.11
O9086,C02127,2023-10-11,Cancelled,6.0
O9087,C01566,2023-07-07,shipped,13.33
O9088,C00479,2023-12-11,Pending,7.23
O9089,C01020,2023-10-23,Cancelled,25.09
O9090,C01696,2023-04-30,Pending,26.15
O9091,C00742,2023-10-15,Shipped,5.42
O9092,C00442,2023-11-02,Pending,27.19
O9093,C00920,2023-05-14,shipped,17.87
O9094,C01143,2023-11-17,Pending,2.63
O9095,C01995,2023-03-12,Pending,23.57
O9096,C01565,2023-09-11,Cancelled,5.63
O9097,C00877,2023-11-02,Cancelled,17.52
O9098,C02170,2023-02-16,Cancelled,26.75
O9099,C00115,2023-02-24,Shipped,16.63
O9100,C01902,2023-03-25,shipped,10.33
O9101,C00913,2023-01-27,Shipped,20.13
O9102,C01310,2023-03-14,Shipped,13.09
O9103,C00750,2023-03-15,Pending,16.69
O9104,C02165,2023-01-14,Shipped,3.94
O9105,C02114,2023-08-28,Shipped,21.49
O9106,C01209,2023-06-24,Pending,19.44
O9107,C00520,2023-12-07,Pending,7.53
O9108,C00675,2023-05-07,Pending,3.18
O9109,C01115,2023-12-13,Cancelled,17.19
O9110,C00460,2023-02-18,shipped,21.41
O9111,C01667,2023-03-09,Shipped,28.56
O9112,C01410,2023-09-21,Shipped,24.51
O9113,C00177,2023-12-18,shipped,15.27
O9114,C00276,2023-02-12,Shipped,15.33
O9115,C01025,2023-03-23,Cancelled,11.15
O9116,C00513,2023-07-19,Shipped,11.67
O9117,C01932,2023-11-14,Pending,2.57
O9118,C01592,2023-09-13,Shipped,23.79
O9119,C00987,2023-02-17,Cancelled,5.4
O9120,C00454,2023-05-05,Cancelled,1.26
O9121,C00335,2023-03-19,Pending,8.63
O9122,C02068,2023-05-29,Shipped,10.33
O9123,C00184,2023-05-06,Cancelled,5.55
O9124,C01760,2023-08-19,Pending,27.12
O9125,C00409,2023-03-23,Cancelled,26.01
O9126,C01898,2023-01-31,shipped,2.44
O9127,C01768,2023-01-20,Pending,5.24
O9128,C01085,2023-12-06,shipped,20.87
O9129,C00176,2023-02-21,shipped,26.23
O9130,C01177,2023-01-04,shipped,26.12
O9131,C00258,2023-12-19,Cancelled,19.71
O9132,C00923,2023-08-26,Shipped,26.84
O9133,C01462,2023-04-09,Pending,27.19
O9134,C00170,2023-09-08,Pending,4.45
O9135,C01024,2023-02-17,Cancelled,11.42
O9136,C00175,2023-07-23,shipped,29.46
O9137,C00183,2023-02-24,Cancelled,11.99
O9138,C02010,2023-09-01,Pending,16.88
O9139,C01533,2023-11-04,Pending,2.27
O9140,C01522,2023-04-08,Cancelled,7.19
O9141,C00533,2023-04-29,Cancelled,20.55
O9142,C00397,2023-02-05,Shipped,26.47
O9143,C00144,2023-10-30,Pending,27.7
O9144,C01968,2023-10-29,Pending,22.61
O9145,C02161,2023-03-28,Pending,28.24
O9146,C01203,2023-04-24,Shipped,15.09
O9147,C00399,2023-08-09,Cancelled,29.35
O9148,C00694,2023-11-02,Cancelled,8.99
O9149,C01302,2023-05-24,shipped,24.19
O9150,C00461,2023-11-09,Pending,18.81
O9151,C00163,2023-08-27,Pending,26.3
O9152,C02040,2023-08-16,Shipped,25.97
O9153,C00329,2023-08-05,Shipped,22.29
O9154,C00515,2023-09-25,Shipped,27.49
O9155,C00747,2023-06-26,Pending,3.69
O9156,C01648,2023-05-13,Pending,25.15
O9157,C01801,2023-07-23,Cancelled,2.29
O9158,C00571,2023-07-29,Pending,25.66
O9159,C00355,2023-08-13,Cancelled,28.18
O9160,C01165,2023-03-21,Pending,5.23
O9161,C01154,2023-11-25,Pending,13.19
O9162,C00800,2023-03-13,Pending,5.77
O9163,C00708,2023-03-20,Pending,6.31
O9164,C01225,2023-07-19,Pending,22.54
O9165,C01229,2023-02-19,Pending,9.2
O9166,C02197,2023-11-07,Cancelled,4.89
O9167,C01639,2023-01-18,shipped,25.0
O9168,C00547,2023-01-06,Pending,5.22
O9169,C00034,2023-12-02,Cancelled,10.52
O9170,C01671,2023-07-26,Pending,23.87
O9171,C01739,2023-12-27,Cancelled,23.49
O9172,C01215,2023-03-04,Pending,7.97
O9173,C00470,2023-09-17,Shipped,13.33
O9174,C00212,2023-12-08,Shipped,10.68
O9175,C00347,2023-08-22,Cancelled,15.14
O9176,C01664,2023-12-14,Shipped,12.25
O9177,C01434,2023-03-12,Shipped,13.9
O9178,C01028,2023-11-05,Pending,7.46
O9179,C01619,2023-08-22,Cancelled,14.74
O9180,C00139,2023-01-28,Cancelled,21.93
O9181,C01855,2023-05-11,Shipped,24.6
O9182,C01752,2023-03-05,Shipped,1.29
O9183,C02049,2023-03-26,Shipped,16.49
O9184,C00837,2023-09-01,Shipped,25.55
O9185,C00977,2023-10-12,shipped,21.83
O9186,C01240,2023-07-02,Cancelled,13.21
O9187,C01194,2023-02-03,Pending,28.98
O9188,C00997,2023-09-03,shipped,14.85
O9189,C00524,2023-12-01,Cancelled,9.88
O9190,C01124,2023-08-17,shipped,27.44
O9191,C02080,2023-11-04,shipped,7.94
O9192,C00250,2023-11-17,Shipped,24.96
O9193,C01103,2023-10-02,Cancelled,21.55
O9194,C01182,2023-01-22,Pending,15.9
O9195,C01801,2023-08-17,Cancelled,14.92
O9196,C00223,2023-09-28,shipped,13.87
O9197,C00501,2023-02-17,shipped,26.14
O9198,C00599,2023-10-24,Shipped,29.25
O9199,C01144,2023-08-09,shipped,23.76
O9200,C01827,2023-09-03,Cancelled,14.97
O9201,C00099,2023-02-24,Pending,8.49
O9202,C02056,2023-12-27,Pending,21.36
O9203,C00332,2023-03-23,shipped,3.82
O9204,C01665,2023-11-06,Cancelled,21.41
O9205,C01961,2023-02-21,Shipped,2.15
O9206,C02007,2023-10-19,Pending,5.66
O9207,C01437,2023-06-07,Shipped,23.23
O9208,C01613,2023-01-16,Shipped,3.88
O9209,C01232,2023-01-01,shipped,18.43
O9210,C00935,2023-04-11,Shipped,5.55
O9211,C00714,2023-12-01,Pending,14.56
O9212,C00690,2023-04-17,Cancelled,18.46
O9213,C00905,2023-10-04,shipped,29.92
O9214,C00109,2023-10-26,Cancelled,5.13
O9215,C01521,2023-05-02,Shipped,9.67
O9216,C02072,2023-04-07,Pending,9.08
O9217,C00074,2023-12-24,Pending,25.57
O9218,C01970,2023-02-14,Cancelled,27.66
O9219,C01390,2023-12-31,Pending,26.87
O9220,C01505,2023-07-26,shipped,20.6
O9221,C00087,2023-05-12,Shipped,21.27
O9222,C01829,2023-08-17,Pending,10.89
O9223,C01378,2023-09-08,Cancelled,29.6
O9224,C00840,2023-06-24,shipped,8.98
O9225,C00105,2023-10-27,Shipped,1.05
O9226,C01753,2023-06-08,Cancelled,15.4
O9227,C01456,2023-03-28,Pending,16.09
O9228,C00725,2023-08-10,shipped,22.61
O9229,C00124,2023-11-27,shipped,11.93
O9230,C00890,2023-12-08,Pending,21.17
O9231,C01294,2023-01-17,Shipped,20.74
O9232,C00394,2023-01-30,shipped,8.69
O9233,C01875,2023-02-13,Shipped,18.28
O9234,C01149,2023-03-18,Shipped,4.03
O9235,C01832,2023-12-11,Pending,3.27
O9236,C01030,2023-05-01,shipped,5.76
O9237,C01411,2023-05-24,Shipped,11.6
O9238,C01580,2023-12-05,Shipped,12.51
O9239,C00933,2023-12-25,Shipped,9.15
O9240,C01523,2023-04-20,Cancelled,1.4
O9241,C00345,2023-02-09,Cancelled,8.1
O9242,C00648,2023-11-14,shipped,20.45
O9243,C00842,2023-11-22,Shipped,9.59
O9244,C00453,2023-10-25,shipped,9.82
O9245,C00902,2023-01-24,Pending,13.56
O9246,C01924,2023-07-01,shipped,3.03
O9247,C01994,2023-01-20,Pending,28.26
O9248,C00705,2023-10-22,Pending,18.85
O9249,C01058,2023-03-01,Pending,13.46
O9250,C01479,2023-08-29,Cancelled,12.12
O9251,C02096,2023-04-28,Cancelled,0.26
O9252,C02003,2023-10-20,Pending,27.72
O9253,C00318,2023-10-08,Cancelled,2.04
O9254,C00222,2023-12-27,shipped,13.25
O9255,C01525,2023-02-12,Shipped,20.62
O9256,C01423,2023-06-08,Pending,5.42
O9257,C00298,2023-06-29,Pending,6.06
O9258,C01483,2023-03-31,Shipped,2.88
O9259,C01973,2023-11-13,Cancelled,21.68
O9260,C00551,2023-08-15,Cancelled,3.73
O9261,C00241,2023-08-27,shipped,17.45
O9262,C01855,2023-09-12,shipped,5.73
O9263,C00414,2023-08-05,Pending,13.89
O9264,C00720,2023-08-12,Shipped,4.21
O9265,C01471,2023-08-17,Shipped,10.87
O9266,C00678,2023-01-16,Shipped,8.81
O9267,C00311,2023-03-15,Pending,4.9
O9268,C01142,2023-01-14,Shipped,9.65
O9269,C01942,2023-09-09,Cancelled,13.17
O9270,C00177,2023-02-19,Pending,9.08
O9271,C00576,2023-11-04,Cancelled,3.48
O9272,C00388,2023-06-02,Cancelled,28.46
O9273,C00356,2023-07-13,Cancelled,8.31
O9274,C01325,2023-08-21,shipped,25.83
O9275,C01298,2023-12-22,shipped,12.78
O9276,C01789,2023-08-12,shipped,0.69
O9277,C00729,2023-12-26,Pending,26.23
O9278,C00806,2023-06-13,Cancelled,8.38
O9279,C02073,2023-06-14,shipped,3.32
O9280,C01466,2023-06-08,Pending,28.56
O9281,C00731,2023-08-08,shipped,14.51
O9282,C01026,2023-10-05,shipped,29.24
O9283,C01609,2023-05-04,shipped,13.56
O9284,C01900,2023-01-11,Pending,9.93
O9285,C01567,2023-05-09,Cancelled,21.26
O9286,C02199,2023-06-11,shipped,23.23
O9287,C00192,2023-08-03,Shipped,26.7
O9288,C01746,2023-08-06,Cancelled,6.06
O9289,C00376,2023-08-23,Pending,22.16
O9290,C01477,2023-07-13,Cancelled,5.86
O9291,C01383,2023-10-16,Cancelled,12.72
O9292,C01396,2023-03-16,shipped,22.6
O9293,C01808,2023-01-30,Cancelled,5.0
O9294,C01719,2023-01-16,shipped,22.64
O9295,C02158,2023-01-31,Pending,29.53
O9296,C01481,2023-11-29,shipped,27.25
O9297,C01119,2023-07-07,Shipped,0.57
O9298,C00224,2023-11-24,Pending,11.96
O9299,C00838,2023-08-25,Shipped,26.71
O9300,C00668,2023-02-15,shipped,4.35
O9301,C01596,2023-05-07,Cancelled,21.38
O9302,C00993,2023-09-14,Pending,22.49
O9303,C01795,2023-04-29,shipped,27.96
O9304,C00673,2023-05-11,Cancelled,21.84
O9305,C00602,2023-02-01,shipped,15.07
O9306,C01560,2023-01-22,shipped,27.5
O9307,C00929,2023-07-30,Cancelled,5.12
O9308,C00044,2023-05-29,Pending,19.27
O9309,C01166,2023-04-26,Cancelled,27.49
O9310,C01537,2023-06-03,Shipped,10.67
O9311,C01209,2023-10-09,shipped,13.64
O9312,C01447,2023-02-14,Cancelled,29.94
O9313,C00620,2023-08-19,shipped,2.58
O9314,C00810,2023-03-05,Cancelled,2.62
O9315,C01460,2023-07-16,Pending,27.47
O9316,C01917,2023-01-19,Cancelled,29.52
O9317,C00123,2023-12-25,Pending,6.65
O9318,C01138,2023-01-12,shipped,2.06
O9319,C00269,2023-07-24,shipped,5.61
O9320,C00816,2023-09-07,Cancelled,19.48
O9321,C01168,2023-09-20,Cancelled,22.31
O9322,C00067,2023-04-23,shipped,29.01
O9323,C01770,2023-03-22,Shipped,22.63
O9324,C00638,2023-03-06,Cancelled,23.91
O9325,C00897,2023-05-26,Cancelled,6.75
O9326,C00169,2023-09-21,shipped,3.58
O9327,C01035,2023-09-09,Pending,25.29
O9328,C00066,2023-11-24,Pending,23.8
O9329,C01177,2023-12-26,Cancelled,29.88
O9330,C02188,2023-12-19,Shipped,6.76
O9331,C01483,2023-04-27,Shipped,17.48
O9332,C01745,2023-07-06,Cancelled,3.33
O9333,C02023,2023-05-01,Shipped,24.94
O9334,C01781,2023-09-11,Pending,28.53
O9335,C01465,2023-03-20,Shipped,21.14
O9336,C00818,2023-02-17,Cancelled,25.9
O9337,C00316,2023-05-06,Cancelled,17.48
O9338,C02066,2023-10-17,Shipped,8.1
O9339,C01977,2023-04-06,shipped,22.69
O9340,C00648,2023-06-09,Pending,25.29
O9341,C01376,2023-06-10,Shipped,1.69
O9342,C00020,2023-01-12,Cancelled,10.9
O9343,C02175,2023-05-12,shipped,4.45
O9344,C02068,2023-10-18,Pending,4.74
O9345,C00089,2023-04-04,Cancelled,7.75
O9346,C01258,2023-12-01,Pending,9.3
O9347,C00840,2023-03-11,Cancelled,16.03
O9348,C00474,2023-08-22,shipped,13.72
O9349,C00186,2023-05-14,Pending,20.35
O9350,C01490,2023-06-17,Pending,18.36
O9351,C00982,2023-08-26,Pending,19.61
O9352,C01310,2023-11-15,Pending,27.08
O9353,C02129,2023-03-23,shipped,6.87
O9354,C01061,2023-07-05,shipped,27.95
O9355,C02186,2023-08-31,Shipped,16.49
O9356,C02023,2023-10-15,Pending,3.86
O9357,C00264,2023-10-21,shipped,27.0
O9358,C01499,2023-09-07,Pending,18.28
O9359,C02111,2023-11-15,shipped,24.23
O9360,C00229,2023-12-17,shipped,1.89
O9361,C01641,2023-01-28,Pending,6.13
O9362,C00587,2023-03-23,shipped,24.84
O9363,C01002,2023-07-27,Cancelled,24.71
O9364,C01083,2023-04-07,Pending,28.58
O9365,C01302,2023-10-07,Cancelled,6.04
O9366,C01242,2023-10-13,shipped,24.08
O9367,C02195,2023-11-20,Shipped,11.82
O9368,C00514,2023-09-27,Pending,5.23
O9369,C01009,2023-01-24,Shipped,20.23
O9370,C00153,2023-11-16,Pending,14.45
O9371,C00955,2023-08-25,shipped,27.77
O9372,C00814,2023-05-18,shipped,2.08
O9373,C00227,2023-03-06,Shipped,16.86
O9374,C01239,2023-06-19,shipped,20.89
O9375,C01404,2023-03-26,Cancelled,10.04
O9376,C02033,2023-07-19,Cancelled,1.55
O9377,C01484,2023-07-22,Pending,26.44
O9378,C00849,2023-11-12,Shipped,19.15
O9379,C01172,2023-10-13,shipped,13.74
O9380,C01327,2023-06-28,Pending,13.21
O9381,C01746,2023-07-08,Pending,9.82
O9382,C00095,2023-05-23,Shipped,17.06
O9383,C00079,2023-10-18,shipped,4.43
O9384,C01884,2023-01-01,shipped,0.32
O9385,C01286,2023-05-26,Pending,19.56
O9386,C01671,2023-06-19,Pending,1.29
O9387,C01223,2023-01-08,Pending,23.54
O9388,C02125,2023-12-19,shipped,20.61
O9389,C00165,2023-08-06,Pending,8.52
O9390,C01169,2023-11-13,Shipped,6.18
O9391,C01456,2023-02-02,Pending,22.56
O9392,C01229,2023-05-07,shipped,25.84
O9393,C01683,2023-08-14,Shipped,19.58
O9394,C00032,2023-07-15,Cancelled,19.67
O9395,C02080,2023-06-12,Shipped,28.06
O9396,C01668,2023-03-12,Cancelled,22.7
O9397,C02002,2023-08-23,Cancelled,7.86
O9398,C00592,2023-10-26,Pending,26.82
O9399,C02127,2023-03-01,Pending,1.15
O9400,C01473,2023-08-28,Pending,25.37
O9401,C01875,2023-08-16,Cancelled,18.99
O9402,C01585,2023-03-14,Shipped,6.07
O9403,C01738,2023-03-13,Pending,19.8
O9404,C02133,2023-04-24,Pending,21.63
O9405,C01550,2023-06-29,Cancelled,9.61
O9406,C01337,2023-05-15,shipped,6.87
O9407,C01438,2023-12-15,Shipped,11.14
O9408,C01019,2023-09-15,Shipped,15.35
O9409,C01453,2023-10-28,shipped,10.69
O9410,C00439,2023-04-07,Cancelled,15.97
O9411,C00367,2023-08-03,Pending,22.14
O9412,C01098,2023-09-11,shipped,14.99
O9413,C01119,2023-06-02,Cancelled,12.71
O9414,C02182,2023-04-24,Pending,7.45
O9415,C01291,2023-07-20,Cancelled,7.97
O9416,C00587,2023-12-17,Cancelled,23.18
O9417,C02049,2023-09-24,Pending,16.4
O9418,C00040,2023-10-17,shipped,8.22
O9419,C00511,2023-09-20,Shipped,28.8
O9420,C01811,2023-04-09,Shipped,8.44
O9421,C00223,2023-01-19,Pending,22.69
O9422,C02045,2023-11-24,Pending,29.18
O9423,C00538,2023-06-10,Shipped,1.39
O9424,C01896,2023-04-30,Cancelled,12.96
O9425,C01827,2023-09-23,Cancelled,15.45
O9426,C01006,2023-02-14,shipped,19.04
O9427,C00073,2023-06-24,Shipped,24.35
O9428,C00030,2023-07-12,shipped,28.45
O9429,C00409,2023-05-03,Shipped,22.32
O9430,C01197,2023-06-06,Pending,11.26
O9431,C00220,2023-08-18,Pending,26.28
O9432,C00205,2023-02-13,Shipped,14.2
O9433,C00500,2023-01-01,Pending,27.54
O9434,C02043,2023-04-09,Cancelled,12.07
O9435,C01882,2023-02-05,Shipped,8.9
O9436,C00590,2023-01-04,shipped,29.01
O9437,C00094,2023-01-10,Shipped,24.78
O9438,C01988,2023-10-22,Pending,20.38
O9439,C01946,2023-08-01,shipped,2.23
O9440,C00266,2023-06-14,shipped,8.54
O9441,C01559,2023-11-30,shipped,10.92
O9442,C00646,2023-11-07,Shipped,1.32
O9443,C01288,2023-04-24,Cancelled,1.03
O9444,C01492,2023-12-15,shipped,17.67
O9445,C00211,2023-09-20,Pending,16.81
O9446,C00364,2023-09-10,Pending,0.79
O9447,C01927,2023-11-01,Pending,14.3
O9448,C00233,2023-02-16,Pending,29.52
O9449,C00954,2023-11-30,Shipped,18.45
O9450,C00925,2023-12-23,shipped,21.32
O9451,C01736,2023-05-07,shipped,4.04
O9452,C00629,2023-11-29,Cancelled,14.78
O9453,C01126,2023-04-10,Pending,27.27
O9454,C00701,2023-02-03,Pending,21.31
O9455,C01264,2023-07-29,Shipped,9.87
O9456,C02163,2023-07-10,shipped,11.44
O9457,C01858,2023-03-16,Shipped,18.99
O9458,C01880,2023-07-15,Pending,1.82
O9459,C01690,2023-01-07,Shipped,7.17
O9460,C00462,2023-11-14,Pending,26.28
O9461,C00136,2023-04-02,Shipped,29.57
O9462,C01257,2023-07-10,shipped,23.8
O9463,C02023,2023-04-02,Cancelled,13.24
O9464,C00744,2023-05-25,shipped,24.99
O9465,C00117,2023-12-15,Pending,22.25
O9466,C00252,2023-02-05,shipped,4.8
O9467,C01682,2023-09-14,Cancelled,26.77
O9468,C02190,2023-10-27,Cancelled,0.17
O9469,C01820,2023-01-15,shipped,13.92
O9470,C02069,2023-01-22,Pending,12.52
O9471,C02100,2023-04-24,shipped,24.92
O9472,C01781,2023-06-04,shipped,6.74
O9473,C02126,2023-07-09,Shipped,26.92
O9474,C00735,2023-05-13,Cancelled,0.65
O9475,C00181,2023-01-24,Shipped,3.05
O9476,C01984,2023-03-31,Shipped,20.17
O9477,C01619,2023-08-26,Pending,4.51
O9478,C02076,2023-02-13,Cancelled,12.49
O9479,C00037,2023-01-03,Pending,17.99
O9480,C00898,2023-03-03,Pending,17.89
O9481,C00053,2023-04-13,Cancelled,28.53
O9482,C02043,2023-01-06,Pending,18.09
O9483,C01628,2023-02-05,shipped,15.33
O9484,C00004,2023-01-22,shipped,10.99
O9485,C00987,2023-06-24,Shipped,10.28
O9486,C01238,2023-12-12,Shipped,11.71
O9487,C01823,2023-05-12,Pending,22.85
O9488,C01675,2023-11-07,Cancelled,9.39
O9489,C01838,2023-06-21,Pending,8.24
O9490,C00722,2023-04-05,Shipped,20.54
O9491,C00529,2023-10-03,Shipped,5.79
O9492,C00415,2023-05-16,Pending,1.39
O9493,C00432,2023-02-21,Cancelled,22.27
O9494,C01128,2023-06-27,shipped,27.99
O9495,C00064,2023-08-22,Pending,5.17
O9496,C00901,2023-12-25,shipped,13.05
O9497,C00237,2023-12-31,Cancelled,15.46
O9498,C00425,2023-11-09,Cancelled,16.58
O9499,C00885,2023-02-27,Shipped,8.48
O9500,C02059,2023-09-02,Shipped,16.91
O9501,C00559,2023-12-31,Cancelled,16.15
O9502,C00686,2023-06-01,shipped,29.07
O9503,C01226,2023-07-03,Pending,5.39
O9504,C00278,2023-04-10,shipped,25.84
O9505,C00217,2023-06-22,Shipped,2.67
O9506,C01520,2023-06-15,Cancelled,18.94
O9507,C01276,2023-02-09,Shipped,8.43
O9508,C00207,2023-09-20,shipped,11.64
O9509,C01628,2023-05-17,Cancelled,23.31
O9510,C01772,2023-02-19,Pending,0.89
O9511,C00546,2023-08-23,Cancelled,21.35
O9512,C01513,2023-05-28,Pending,23.06
O9513,C01988,2023-01-20,Shipped,4.62
O9514,C01236,2023-11-17,Pending,6.39
O9515,C00076,2023-10-22,shipped,1.95
O9516,C00791,2023-11-30,Pending,0.56
O9517,C00142,2023-07-19,Shipped,0.8
O9518,C00410,2023-04-03,Pending,16.15
O9519,C00610,2023-07-11,shipped,28.04
O9520,C01812,2023-05-19,Pending,15.51
O9521,C00929,2023-10-02,shipped,22.06
O9522,C02053,2023-11-04,Shipped,12.02
O9523,C01143,2023-07-28,shipped,2.36
O9524,C01231,2023-02-14,Cancelled,24.41
O9525,C02116,2023-11-24,Pending,15.96
O9526,C01824,2023-08-21,shipped,7.37
O9527,C00287,2023-12-04,Cancelled,8.56
O9528,C01025,2023-08-25,shipped,2.4
O9529,C02188,2023-03-03,shipped,9.9
O9530,C00119,2023-11-24,shipped,6.43
O9531,C01284,2023-12-17,Shipped,12.71
O9532,C02006,2023-05-23,Pending,7.49
O9533,C00892,2023-12-11,Cancelled,1.34
O9534,C01185,2023-10-24,Shipped,29.75
O9535,C00664,2023-02-08,Pending,10.53
O9536,C01163,2023-02-20,Shipped,2.74
O9537,C01504,2023-05-30,Cancelled,24.75
O9538,C01609,2023-09-01,Shipped,29.87
O9539,C01211,2023-03-22,Cancelled,26.59
O9540,C01695,2023-10-13,Cancelled,20.34
O9541,C00281,2023-05-24,Pending,18.24
O9542,C00362,2023-05-31,Shipped,29.89
O9543,C00744,2023-08-01,shipped,25.47
O9544,C00396,2023-02-21,Pending,11.75
O9545,C00488,2023-05-18,shipped,18.74
O9546,C00560,2023-12-06,Pending,26.97
O9547,C01455,2023-04-09,Shipped,18.23
O9548,C00147,2023-04-27,shipped,26.85
O9549,C01827,2023-08-29,shipped,26.53
O9550,C01704,2023-11-01,Pending,25.93
O9551,C01057,2023-04-19,Shipped,7.17
O9552,C00056,2023-06-05,Cancelled,22.49
O9553,C00100,2023-12-24,shipped,24.76
O9554,C01929,2023-10-29,shipped,29.99
O9555,C00684,2023-07-13,shipped,9.22
O9556,C01546,2023-06-02,Pending,25.05
O9557,C00034,2023-11-12,shipped,5.02
O9558,C00699,2023-01-07,Shipped,17.43
O9559,C01004,2023-07-14,Shipped,21.45
O9560,C01968,2023-09-09,Cancelled,25.08
O9561,C01155,2023-07-31,shipped,23.92
O9562,C01963,2023-09-16,Cancelled,13.01
O9563,C01571,2023-10-19,shipped,12.2
O9564,C00614,2023-09-09,shipped,29.22
O9565,C01230,2023-06-23,Shipped,15.91
O9566,C01233,2023-01-29,shipped,12.86
O9567,C01674,2023-08-04,Pending,15.98
O9568,C02011,2023-08-01,shipped,28.05
O9569,C00427,2023-11-28,shipped,25.96
O9570,C00374,2023-06-02,Pending,23.26
O9571,C01896,2023-10-11,Shipped,24.48
O9572,C01293,2023-02-02,Cancelled,24.83
O9573,C01934,2023-07-10,Pending,4.27
O9574,C00698,2023-06-19,Cancelled,10.08
O9575,C01088,2023-05-29,Pending,14.21
O9576,C01311,2023-05-14,Pending,1.47
O9577,C01505,2023-05-07,Pending,7.43
O9578,C01994,2023-04-26,Pending,9.86
O9579,C00902,2023-01-29,Shipped,2.53
O9580,C00717,2023-11-19,Pending,27.82
O9581,C01789,2023-08-24,Pending,13.95
O9582,C00738,2023-12-07,Shipped,20.34
O9583,C00449,2023-11-17,Cancelled,28.13
O9584,C00094,2023-01-13,shipped,6.65
O9585,C02088,2023-02-20,shipped,28.07
O9586,C01480,2023-11-12,Pending,12.87
O9587,C00867,2023-11-03,Pending,17.37
O9588,C00034,2023-05-15,Pending,10.3
