order_id,product_id,quantity,discount
O9144,P153,4,15.24
O9144,P248,7,2.76
O9144,P158,4,8.54
O9145,P185,8,13.15
O9145,P228,3,8.8
O9146,P241,1,10.37
O9146,P303,1,14.93
O9146,P192,5,7.31
O9146,P270,5,8.59
O9147,P356,4,13.01
O9147,P378,6,16.56
O9147,P230,8,3.51
O9147,P387,4,5.23
O9148,P307,6,16.06
O9148,P149,6,2.53
O9148,P177,1,3.54
O9148,P355,8,4.98
O9148,P211,8,1.26
O9149,P375,4,16.2
O9149,P142,2,11.52
O9150,P158,8,3.32
O9150,P261,3,16.98
O9150,P208,8,8.92
O9150,P120,3,15.64
O9150,P397,4,6.16
O9151,P160,4,5.49
O9151,P153,2,7.13
O9151,P399,8,10.09
O9151,P141,6,18.71
O9151,P136,6,4.23
O9152,P252,4,7.92
O9152,P205,2,10.54
O9152,P157,1,12.31
O9152,P140,2,1.36
O9152,P190,1,16.21
O9153,P389,2,8.59
O9153,P210,2,11.6
O9154,P317,1,5.94
O9155,P229,3,13.77
O9156,P192,7,5.09
O9156,P137,7,0.37
O9156,P120,2,11.66
O9156,P155,1,6.05
O9156,P202,5,11.46
O9157,P321,6,18.57
O9157,P366,7,14.77
O9157,P335,1,6.68
O9157,P227,8,18.04
O9158,P254,4,14.94
O9158,P229,8,13.21
O9158,P312,1,17.33
O9158,P277,2,6.51
O9158,P330,4,18.29
O9159,P364,3,7.32
O9160,P224,6,19.55
O9161,P390,1,11.56
O9161,P292,2,6.69
O9161,P309,2,14.8
O9161,P275,2,0.56
O9161,P352,8,19.1
O9162,P382,3,19.59
O9163,P376,3,6.31
O9163,P195,3,11.7
O9164,P341,2,5.14
O9164,P243,4,7.43
O9164,P292,7,5.83
O9164,P214,2,8.53
O9164,P196,6,11.53
O9165,P396,4,9.44
O9165,P171,5,10.57
O9165,P159,8,7.31
O9165,P225,3,16.18
O9165,P186,4,6.77
O9166,P391,1,9.64
O9166,P291,4,9.32
O9166,P115,2,14.31
O9166,P320,7,12.61
O9167,P192,4,11.55
O9167,P202,3,2.5
O9167,P189,7,12.1
O9167,P154,1,18.24
O9167,P113,2,5.71
O9168,P362,7,2.64
O9168,P377,5,17.31
O9168,P116,5,1.92
O9168,P118,2,9.17
O9168,P258,1,8.67
O9169,P100,4,3.49
O9169,P350,2,18.39
O9169,P192,8,8.02
O9169,P221,3,18.59
O9170,P384,1,5.13
O9171,P166,1,10.05
O9171,P280,7,18.33
O9171,P277,8,8.62
O9172,P138,2,10.97
O9173,P141,2,7.0
O9173,P236,3,6.46
O9173,P348,2,11.76
O9174,P377,6,4.32
O9174,P295,1,14.92
O9174,P166,8,2.93
O9175,P205,4,15.64
O9175,P133,8,6.43
O9175,P361,8,14.23
O9176,P299,8,12.0
O9176,P352,8,17.52
O9176,P239,6,15.65
O9176,P340,6,5.44
O9176,P101,5,8.43
O9177,P230,2,1.67
O9177,P376,8,2.21
O9177,P314,7,12.05
O9177,P392,6,9.23
O9177,P338,5,5.55
O9178,P397,8,7.44
O9178,P174,6,10.09
O9178,P247,7,8.92
O9179,P157,1,8.08
O9179,P190,3,19.57
O9179,P191,4,12.94
O9179,P271,3,19.18
O9180,P121,1,11.65
O9180,P332,5,9.78
O9180,P320,7,19.5
O9180,P152,8,0.23
O9180,P186,5,3.15
O9181,P313,8,4.83
O9181,P207,4,9.93
O9182,P165,8,8.93
O9182,P380,6,14.78
O9182,P239,6,6.13
O9183,P285,7,4.7
O9183,P248,2,0.8
O9184,P100,8,3.44
O9184,P117,4,0.13
O9185,P357,3,11.62
O9185,P230,3,3.16
O9186,P121,8,19.47
O9186,P350,7,13.34
O9186,P191,7,8.71
O9187,P299,3,0.65
O9187,P361,2,14.03
O9187,P282,4,6.97
O9187,P325,5,1.78
O9187,P236,4,16.27
O9188,P345,5,19.54
O9188,P242,1,11.26
O9188,P327,4,11.61
O9188,P323,6,9.69
O9188,P300,6,15.67
O9189,P394,7,15.0
O9189,P283,8,9.51
O9190,P267,7,7.03
O9190,P200,8,0.89
O9190,P224,1,15.23
O9190,P342,2,8.18
O9191,P240,7,7.14
O9191,P325,2,2.96
O9191,P323,5,4.3
O9191,P327,7,9.31
O9191,P251,2,4.18
O9192,P276,6,13.61
O9192,P113,1,4.68
O9193,P231,7,14.82
O9193,P197,2,13.99
O9194,P201,7,8.61
O9194,P111,5,17.2
O9195,P186,7,3.63
O9195,P251,6,12.79
O9195,P169,3,4.81
O9195,P156,8,13.31
O9195,P240,6,19.43
O9196,P248,2,9.48
O9196,P362,4,17.72
O9196,P140,2,3.25
O9196,P128,1,16.97
O9197,P339,5,7.07
O9197,P311,6,14.59
O9197,P350,3,17.71
O9198,P145,1,12.31
O9198,P321,2,14.52
O9198,P348,4,14.83
O9199,P122,1,12.97
O9200,P163,2,10.33
O9200,P345,3,10.23
O9201,P392,6,18.99
O9201,P362,7,3.43
O9201,P357,8,2.58
O9201,P347,8,18.99
O9201,P186,6,8.5
O9202,P262,3,1.83
O9202,P154,3,0.27
O9202,P264,2,4.11
O9202,P363,5,17.52
O9202,P190,3,2.97
O9203,P327,6,11.15
O9203,P100,6,19.21
O9203,P322,7,18.31
O9204,P133,2,9.97
O9204,P162,3,0.49
O9204,P177,7,17.19
O9205,P174,3,16.17
O9205,P296,2,7.57
O9205,P313,5,16.87
O9205,P313,7,16.04
O9206,P248,6,2.05
O9207,P109,2,8.86
O9207,P292,6,11.23
O9207,P181,2,17.75
O9208,P210,4,18.21
O9208,P345,3,16.58
O9208,P140,4,6.66
O9208,P381,7,12.88
O9208,P394,6,2.49
O9209,P391,2,9.29
O9209,P123,2,5.82
O9209,P205,4,14.53
O9210,P254,4,5.58
O9210,P233,1,19.2
O9211,P254,3,19.35
O9212,P376,2,12.62
O9212,P394,7,5.43
O9212,P130,6,0.05
O9213,P299,4,17.4
O9213,P161,3,16.56
O9213,P324,6,6.44
O9214,P363,4,4.2
O9214,P207,5,4.57
O9214,P287,5,2.33
O9215,P370,1,18.21
O9216,P142,2,9.94
O9217,P375,7,7.38
O9217,P325,4,5.85
O9217,P110,5,4.7
O9217,P128,3,5.0
O9218,P282,5,1.93
O9219,P171,4,6.2
O9219,P143,6,12.47
O9219,P352,5,2.26
O9219,P358,3,9.04
O9220,P248,3,17.35
O9221,P120,5,3.15
O9221,P267,5,14.42
O9221,P262,7,12.32
O9222,P150,5,10.71
O9222,P280,6,8.06
O9223,P206,1,15.39
O9223,P116,8,16.28
O9224,P326,6,14.64
O9224,P329,4,18.63
O9224,P214,2,1.61
O9225,P300,6,11.69
O9225,P274,1,6.27
O9225,P214,8,10.89
O9225,P170,2,5.25
O9226,P373,3,13.88
O9226,P269,7,8.98
O9226,P345,1,9.34
O9227,P124,4,13.43
O9227,P328,2,15.9
O9227,P385,4,4.71
O9227,P296,5,10.14
O9227,P262,5,14.52
O9228,P332,2,6.56
O9228,P228,1,3.38
O9229,P293,8,13.24
O9230,P282,7,9.21
O9231,P293,1,9.56
O9232,P188,8,16.15
O9232,P258,6,19.74
O9232,P228,5,5.46
O9232,P373,4,9.86
O9233,P252,6,19.86
O9233,P162,4,9.24
O9234,P278,8,1.14
O9234,P374,3,12.41
O9235,P212,6,16.61
O9235,P325,6,0.77
O9235,P383,6,16.95
O9236,P136,7,4.17
O9236,P228,4,17.77
O9236,P364,3,17.7
O9237,P152,6,6.09
O9237,P151,5,1.82
O9237,P286,4,8.21
O9237,P314,6,8.84
O9238,P304,6,3.01
O9239,P214,3,3.48
O9239,P234,3,19.1
O9239,P181,4,7.78
O9239,P375,5,5.76
O9239,P215,6,1.29
O9240,P118,1,18.83
O9240,P389,4,8.38
O9240,P141,7,9.29
O9241,P365,6,17.27
O9241,P267,2,10.81
O9241,P172,3,8.73
O9241,P238,5,12.84
O9242,P160,7,3.45
O9242,P131,1,12.6
O9242,P194,5,1.74
O9242,P346,3,8.47
O9242,P392,2,10.62
O9243,P235,1,12.04
O9243,P157,3,4.3
O9244,P314,6,1.57
O9244,P228,3,15.41
O9244,P239,6,16.72
O9244,P355,5,4.02
O9245,P116,7,13.71
O9245,P391,5,16.48
O9245,P137,6,4.41
O9245,P331,7,9.58
O9245,P161,2,9.4
O9246,P240,5,7.62
O9246,P289,4,7.07
O9246,P105,2,3.09
O9247,P273,8,0.26
O9247,P253,6,12.57
O9247,P191,6,2.26
O9248,P256,8,0.16
O9248,P379,3,4.19
O9248,P365,6,9.6
O9248,P217,6,14.18
O9248,P275,1,2.35
O9249,P294,2,18.73
O9249,P283,1,1.15
O9249,P125,2,19.91
O9250,P360,6,9.07
O9250,P151,5,17.24
O9251,P264,1,15.81
O9252,P339,5,13.12
O9252,P218,2,14.03
O9252,P216,4,13.76
O9252,P123,1,17.35
O9253,P385,5,0.49
O9253,P300,5,9.82
O9253,P120,5,17.89
O9253,P245,1,8.86
O9253,P339,5,6.25
O9254,P381,3,12.07
O9254,P225,4,4.76
O9254,P166,6,14.58
O9254,P328,3,1.0
O9255,P299,4,19.03
O9255,P359,1,19.4
O9255,P239,4,16.76
O9255,P111,3,6.53
O9255,P284,1,18.4
O9256,P358,3,3.15
O9256,P389,6,6.42
O9256,P228,3,6.84
O9257,P207,2,8.88
O9257,P231,8,13.25
O9257,P147,8,14.65
O9258,P275,2,15.19
O9258,P201,6,13.48
O9259,P139,6,17.63
O9259,P138,8,3.06
O9259,P158,8,6.28
O9259,P315,1,2.1
O9260,P246,2,7.57
O9260,P123,2,19.25
O9261,P149,6,5.65
O9261,P343,1,11.11
O9261,P142,2,1.23
O9262,P265,5,9.24
O9263,P154,5,2.62
O9264,P120,7,9.16
O9264,P167,7,9.76
O9264,P308,7,16.87
O9264,P168,7,13.39
O9264,P106,8,16.14
O9265,P197,4,3.32
O9265,P103,5,8.4
O9265,P205,5,11.54
O9265,P258,6,13.19
O9266,P241,4,6.15
O9266,P333,4,16.19
O9266,P283,5,3.13
O9266,P364,4,8.69
O9267,P211,2,1.16
O9267,P119,3,15.37
O9267,P363,5,0.24
O9267,P131,5,7.49
O9267,P118,1,14.59
O9268,P163,4,10.06
O9268,P101,2,4.19
O9268,P346,4,6.08
O9268,P182,6,16.6
O9268,P381,7,9.99
O9269,P273,4,15.69
O9269,P228,5,0.71
O9269,P261,2,2.05
O9269,P116,7,12.52
O9269,P389,6,17.29
O9270,P137,5,9.89
O9271,P353,4,1.72
O9272,P182,5,15.75
O9272,P375,8,14.53
O9272,P297,5,10.22
O9272,P296,5,15.92
O9273,P355,1,10.35
O9274,P180,7,13.45
O9274,P189,2,2.49
O9274,P128,1,0.06
O9274,P128,5,7.43
O9275,P284,6,2.01
O9275,P201,4,18.18
O9276,P240,7,4.29
O9277,P312,3,15.87
O9278,P196,5,9.26
O9278,P209,8,14.21
O9278,P382,8,0.92
O9279,P193,8,11.94
O9280,P173,8,14.65
O9280,P115,8,4.36
O9280,P365,4,6.54
O9280,P213,3,3.74
O9280,P381,3,9.8
O9281,P389,4,8.8
O9281,P265,6,17.85
O9282,P282,1,17.24
O9283,P130,5,4.27
O9283,P164,8,9.17
O9283,P249,7,6.85
O9283,P377,2,16.88
O9284,P393,8,11.75
O9284,P319,3,7.86
O9284,P272,1,8.37
O9284,P326,7,16.55
O9284,P273,3,17.17
O9285,P269,5,16.48
O9286,P263,8,0.88
O9286,P375,8,8.68
O9286,P140,6,8.2
O9286,P357,6,2.53
O9286,P374,6,8.06
O9287,P117,4,13.94
O9288,P272,1,3.22
O9288,P227,8,6.73
O9288,P162,1,2.24
O9288,P371,5,10.7
O9289,P219,2,17.59
O9289,P315,5,4.94
O9290,P390,7,15.19
O9290,P176,3,4.82
O9291,P222,4,3.56
O9291,P206,4,1.65
O9291,P377,2,2.72
O9292,P202,3,6.29
O9293,P371,3,18.13
O9293,P107,2,7.94
O9293,P244,3,8.54
O9293,P205,7,8.58
O9293,P228,2,6.77
O9294,P331,3,7.21
O9294,P377,6,2.89
O9294,P104,7,2.34
O9294,P318,1,7.73
O9294,P264,1,2.46
O9295,P273,4,8.36
O9295,P225,8,10.51
O9296,P161,1,12.96
O9296,P156,8,13.34
O9297,P234,2,5.16
O9297,P374,5,18.49
O9298,P297,5,0.4
O9299,P173,5,0.17
O9299,P169,3,3.28
O9300,P181,1,15.99
O9300,P235,1,11.25
O9300,P135,1,1.66
O9300,P380,4,6.8
O9300,P310,1,1.3
O9301,P193,3,0.54
O9302,P195,6,8.04
O9302,P351,8,5.58
O9302,P260,6,18.49
O9303,P374,1,3.56
O9304,P184,4,18.7
O9304,P293,3,16.0
O9304,P300,3,15.51
O9305,P162,6,13.99
O9305,P172,3,2.26
O9305,P229,1,8.16
O9305,P333,1,4.84
O9306,P216,4,16.75
O9306,P317,4,2.57
O9307,P238,6,10.0
O9307,P115,5,3.57
O9307,P359,7,9.04
O9307,P176,4,3.42
O9307,P202,5,7.17
O9308,P301,2,10.95
O9308,P192,7,3.53
O9308,P220,4,11.37
O9308,P349,6,15.56
O9309,P330,2,13.49
O9309,P153,3,19.16
O9310,P184,7,8.56
O9310,P374,7,14.35
O9311,P285,8,17.7
O9311,P139,7,3.25
O9311,P307,5,18.72
O9312,P140,5,19.01
O9312,P214,7,16.38
O9312,P354,1,1.98
O9312,P199,1,7.45
O9312,P214,6,4.22
O9313,P362,4,13.29
O9313,P273,3,19.89
O9313,P146,2,13.17
O9314,P361,7,5.45
O9314,P187,2,8.04
O9314,P182,2,8.47
O9314,P122,4,8.21
O9314,P390,5,3.82
O9315,P158,1,13.52
O9315,P164,5,10.19
O9315,P266,2,5.59
O9315,P192,6,11.65
O9316,P390,5,0.53
O9317,P160,6,2.38
O9317,P352,1,0.7
O9317,P325,1,7.27
O9318,P239,5,8.34
O9318,P378,2,8.39
O9318,P341,6,9.19
O9318,P213,6,8.11
O9318,P176,1,19.05
O9319,P376,5,4.45
O9319,P381,8,15.22
O9319,P187,8,17.91
O9319,P310,2,0.99
O9320,P187,1,15.77
O9320,P118,7,9.88
O9320,P173,1,13.11
O9320,P214,4,18.77
O9320,P100,4,19.47
O9321,P304,4,15.91
O9321,P351,4,13.64
O9321,P308,2,7.72
O9322,P217,8,7.95
O9322,P385,2,13.47
O9322,P250,2,4.47
O9322,P390,4,7.47
O9323,P397,5,14.72
O9323,P330,1,2.07
O9323,P350,5,19.03
O9323,P316,6,14.4
O9324,P302,3,0.32
O9324,P389,4,9.51
O9324,P284,6,5.59
O9325,P345,3,19.93
O9325,P263,1,4.02
O9325,P185,7,4.69
O9325,P310,4,7.21
O9326,P178,5,16.86
O9327,P329,6,15.48
O9327,P343,2,17.53
O9327,P297,6,12.21
O9327,P170,2,0.76
O9327,P178,8,3.31
O9328,P261,5,15.75
O9328,P190,5,3.12
O9329,P228,1,17.07
O9329,P369,4,16.42
O9329,P215,5,4.77
O9330,P133,1,7.75
O9330,P136,7,0.26
O9330,P212,4,13.53
O9331,P277,6,19.34
O9331,P385,8,16.46
O9331,P209,7,8.34
O9331,P394,6,12.08
O9331,P395,2,14.0
O9332,P216,6,14.72
O9332,P152,2,4.81
O9332,P138,8,12.05
O9332,P134,5,19.87
O9333,P300,3,13.32
O9333,P128,8,2.38
O9333,P382,2,12.56
O9334,P303,6,11.4
O9334,P154,7,11.32
O9334,P168,7,0.06
O9334,P388,1,17.68
O9334,P175,7,18.24
O9335,P156,6,5.5
O9335,P191,5,3.27
O9335,P192,5,4.89
O9336,P239,5,2.32
O9336,P104,1,17.35
O9336,P206,3,12.57
O9336,P399,7,11.37
O9336,P151,3,19.19
O9337,P281,5,15.3
O9337,P367,3,19.31
O9337,P107,6,14.58
O9337,P197,6,14.8
O9337,P269,6,19.01
O9338,P220,7,2.71
O9338,P160,7,17.48
O9338,P383,1,6.81
O9339,P237,8,18.29
O9340,P153,8,15.71
O9340,P160,6,9.83
O9340,P394,1,9.74
O9340,P227,8,3.71
O9341,P146,4,4.31
O9341,P176,2,12.69
O9341,P299,1,18.15
O9341,P151,7,10.72
O9341,P155,7,1.53
O9342,P309,8,14.07
O9343,P167,2,2.5
O9344,P363,7,19.12
O9344,P233,2,2.71
O9345,P379,6,16.62
O9345,P174,6,9.18
O9346,P233,8,1.62
O9347,P315,1,6.35
O9347,P242,8,4.54
O9347,P266,2,0.03
O9348,P179,5,3.18
O9348,P212,8,8.05
O9348,P137,1,7.39
O9348,P286,8,5.7
O9348,P274,1,6.67
O9349,P161,5,0.84
O9349,P125,8,0.05
O9349,P183,8,2.01
O9349,P379,8,7.1
O9349,P121,4,8.27
O9350,P221,2,16.86
O9350,P353,8,10.11
O9350,P399,6,15.14
O9350,P333,7,6.33
O9350,P220,3,16.64
O9351,P214,5,3.89
O9351,P162,1,18.88
O9351,P192,3,14.73
O9352,P234,8,0.5
O9352,P182,6,9.34
O9353,P250,3,2.75
O9353,P295,1,2.44
O9353,P170,4,14.14
O9353,P349,5,16.44
O9353,P333,3,16.8
O9354,P383,7,18.47
O9354,P298,4,7.72
O9354,P227,3,14.59
O9354,P289,6,18.05
O9354,P109,6,6.26
O9355,P206,7,8.44
O9355,P376,8,12.87
O9355,P297,2,11.72
O9356,P161,6,11.26
O9356,P137,4,2.87
O9356,P102,4,13.31
O9356,P379,8,9.83
O9356,P359,1,0.8
O9357,P274,6,12.08
O9357,P337,6,2.63
O9358,P369,1,9.33
O9359,P113,6,0.32
O9359,P366,3,18.35
O9360,P321,3,4.2
