payment_id,order_id,payment_date,amount,method
PMT634403,O12330,2023-12-24,2617.74,Debit
PMT489211,O9311,2023-01-23,2938.14,Credit
PMT921265,O17257,2023-10-09,2694.54,Credit
PMT912948,O18975,2023-11-13,947.24,Credit
PMT554927,O10732,2023-08-11,2614.12,Debit
PMT238970,O15887,2023-01-12,684.04,Credit
PMT708771,O17195,2023-12-06,176.19,credit
PMT639127,O15700,2023-02-28,703.17,PayPal
PMT308489,O18294,2023-09-08,2249.13,PayPal
PMT104825,O12762,2023-01-06,1898.95,PayPal
PMT054725,O16031,2023-12-29,272.02,credit
PMT516820,O16738,2023-06-03,156.97,Credit
PMT856372,O16563,2023-01-27,146.8,credit
PMT359419,O10593,2023-07-20,1962.82,Bank
PMT298339,O14130,2023-01-05,2212.93,Credit
PMT576180,O14770,2023-09-09,396.13,Credit
PMT897014,O11915,2023-08-20,178.12,Credit
PMT443776,O12528,2023-06-13,2782.86,Debit
PMT812180,O9318,2023-05-08,1032.05,Bank
PMT731994,O13912,2023-10-14,1328.12,PayPal
PMT806236,O18205,2023-06-22,314.98,Debit
PMT098540,O18364,2023-03-31,2617.6,Bank
PMT603283,O16260,2023-03-07,1201.73,Bank
PMT020556,O14776,2023-07-21,1493.87,PayPal
PMT665257,O9460,2023-02-06,1907.33,Bank
PMT416156,O9524,2023-05-05,2341.99,Credit
PMT064402,O15885,2023-02-12,2923.77,PayPal
PMT382728,O12941,2023-01-16,2963.34,Credit
PMT312410,O11823,2023-01-07,964.56,Credit
PMT405109,O13478,2023-12-04,2228.31,Credit
PMT565983,O12460,2023-10-25,84.12,Debit
PMT419411,O12182,2023-08-18,1224.54,Credit
PMT649111,O10398,2023-02-20,2025.79,Bank
PMT411699,O15355,2023-12-24,1906.99,Credit
PMT481083,O13445,2023-08-11,2112.29,Bank
PMT441328,O13743,2023-04-24,2374.21,Bank
PMT588244,O16778,2023-08-29,2137.45,Debit
PMT345109,O14003,2023-09-08,2133.72,Credit
PMT600291,O9749,2023-01-10,1334.86,PayPal
PMT391362,O15104,2023-05-02,1258.83,credit
PMT182876,O17827,2023-09-16,2859.79,Credit
PMT646170,O15181,2023-05-11,2024.51,credit
PMT257493,O12105,2023-05-19,883.35,Credit
PMT046838,O16661,2023-06-14,2666.32,credit
PMT205280,O18323,2023-10-08,280.55,Bank
PMT737771,O14351,2023-09-18,27.99,credit
PMT068929,O17070,2023-11-13,552.93,Bank
PMT313688,O13199,2023-09-08,1293.58,Debit
PMT914207,O15482,2023-05-03,2665.25,PayPal
PMT745362,O16972,2023-09-21,2164.34,credit
PMT517832,O15840,2023-08-07,240.04,PayPal
PMT189692,O10690,2023-08-13,2367.0,Debit
PMT691454,O14271,2023-10-26,771.33,PayPal
PMT071882,O15345,2023-12-19,718.93,Credit
PMT935713,O14737,2023-06-02,719.77,Bank
PMT629562,O16657,2023-10-27,2848.68,PayPal
PMT637428,O16554,2023-11-08,2500.37,Bank
PMT336528,O11967,2023-10-29,35.02,Credit
PMT115477,O17735,2023-10-24,330.22,Bank
PMT202449,O16460,2023-03-15,135.85,PayPal
PMT571545,O17250,2023-10-31,994.85,Bank
PMT539701,O18690,2023-11-01,2016.05,Bank
PMT004377,O18200,2023-07-27,843.26,PayPal
PMT501493,O13377,2023-11-27,987.01,Bank
PMT941128,O12186,2023-09-09,853.14,Debit
PMT142410,O11240,2023-05-02,2840.14,PayPal
PMT823064,O15500,2023-12-06,1193.92,Credit
PMT991441,O18725,2023-01-05,2560.57,Credit
PMT674494,O14247,2023-08-24,920.98,PayPal
PMT055023,O14843,2023-07-28,2655.7,Bank
PMT445214,O10766,2023-02-10,1153.0,Credit
PMT769357,O9819,2023-02-08,1135.36,PayPal
PMT823572,O12581,2023-08-22,877.91,Credit
PMT795932,O16508,2023-04-17,1686.2,PayPal
PMT633571,O18702,2023-03-10,2741.07,PayPal
PMT159202,O12508,2023-09-25,1176.52,PayPal
PMT914495,O10513,2023-03-05,2746.82,PayPal
PMT430525,O12506,2023-10-12,881.85,PayPal
PMT982252,O12846,2023-06-06,932.25,Debit
PMT784037,O9198,2023-12-31,172.5,Debit
PMT884073,O11764,2023-04-11,2174.92,credit
PMT168644,O10702,2023-11-24,1553.48,credit
PMT379478,O14338,2023-04-03,475.36,Debit
PMT750733,O18953,2023-10-29,2162.07,Bank
PMT771211,O12128,2023-10-13,2583.76,credit
PMT058493,O14995,2023-10-14,2272.65,credit
PMT427246,O11417,2023-05-23,57.38,Credit
PMT593638,O16788,2023-07-08,2103.86,PayPal
PMT679331,O12010,2023-11-19,1851.91,PayPal
PMT022877,O17823,2023-05-05,1468.69,credit
PMT303043,O15136,2023-08-04,2286.06,credit
PMT478873,O14224,2023-09-24,1780.95,Credit
PMT431688,O13896,2023-12-14,1237.37,Credit
PMT305196,O12895,2023-10-29,815.05,PayPal
PMT751881,O11059,2023-09-29,2009.32,PayPal
PMT095654,O16810,2023-09-01,1909.63,Credit
PMT304551,O9855,2023-03-04,2290.79,Bank
PMT168396,O9256,2023-03-31,1147.27,PayPal
PMT597456,O18616,2023-04-28,2512.39,Debit
PMT520669,O9496,2023-02-14,352.28,Bank
PMT736267,O10126,2023-09-28,1156.5,credit
PMT469611,O12039,2023-04-21,865.77,Bank
PMT823328,O10311,2023-08-19,764.35,Credit
PMT052310,O16275,2023-04-14,666.41,PayPal
PMT180610,O14060,2023-12-19,2113.18,Credit
PMT115953,O11970,2023-05-26,1793.36,PayPal
PMT813680,O12494,2023-09-15,2012.89,Credit
PMT019614,O13578,2023-03-01,764.74,Debit
PMT196975,O12388,2023-07-04,2035.2,PayPal
PMT498908,O15727,2023-07-14,1741.63,Credit
PMT697902,O18711,2023-06-21,1436.72,Credit
PMT821786,O12046,2023-05-25,273.21,Debit
PMT155505,O18112,2023-03-16,1414.42,Bank
PMT796045,O14768,2023-06-29,1047.91,Bank
PMT431510,O18333,2023-10-02,1383.04,Bank
PMT210540,O11521,2023-02-25,61.23,Credit
PMT505095,O16301,2023-06-26,487.7,Debit
PMT018940,O18521,2023-01-04,807.45,Debit
PMT213359,O13373,2023-09-24,2466.63,Credit
PMT676613,O11070,2023-05-15,2993.13,Bank
PMT407209,O17980,2023-02-12,2589.38,credit
PMT689389,O12189,2023-02-03,599.27,credit
PMT990152,O15073,2023-04-07,1057.1,Credit
PMT292132,O11139,2023-11-13,1015.33,Debit
PMT208695,O17168,2023-06-01,154.13,credit
PMT169365,O12263,2023-05-04,2890.12,Bank
PMT130697,O10221,2023-08-01,1429.67,Bank
PMT904086,O17222,2023-01-26,1420.82,PayPal
PMT997838,O10422,2023-01-03,1781.96,Bank
PMT318065,O11641,2023-02-21,1546.8,credit
PMT587888,O9737,2023-07-15,1549.54,Debit
PMT945086,O12401,2023-06-16,921.82,Debit
PMT136602,O16392,2023-02-20,2187.76,credit
PMT061063,O15362,2023-12-24,921.96,Debit
PMT516168,O18531,2023-01-23,2118.58,credit
PMT737410,O18790,2023-11-27,1591.93,Bank
PMT884331,O9436,2023-09-12,1279.15,Credit
PMT647776,O14353,2023-06-09,1830.03,PayPal
PMT892386,O12420,2023-09-23,892.66,Debit
PMT912420,O14194,2023-03-14,905.2,PayPal
PMT783750,O15535,2023-01-06,1887.14,PayPal
PMT509896,O16001,2023-09-01,1573.22,Debit
PMT878165,O10471,2023-07-08,428.11,credit
PMT470848,O16461,2023-08-03,1402.96,credit
PMT235445,O15384,2023-10-20,1205.49,Debit
PMT995151,O9762,2023-01-25,1387.15,PayPal
PMT841954,O10000,2023-05-07,1711.59,Bank
PMT785802,O13291,2023-12-23,562.12,Debit
PMT544910,O10764,2023-08-06,2185.79,credit
PMT673214,O15648,2023-08-19,1475.81,Credit
PMT400273,O11014,2023-10-28,2271.9,Credit
PMT431746,O9938,2023-10-23,1531.23,credit
PMT001234,O14488,2023-07-27,589.88,Bank
PMT135220,O11898,2023-07-05,1146.9,credit
PMT684041,O17641,2023-11-30,770.8,credit
PMT402912,O10380,2023-12-25,746.87,PayPal
PMT219440,O18502,2023-05-27,2298.77,Credit
PMT305849,O18027,2023-05-01,2311.89,Credit
PMT203832,O15034,2023-08-05,1968.54,Bank
PMT935132,O11602,2023-05-19,415.51,PayPal
PMT221478,O14411,2023-03-06,571.65,Credit
PMT706826,O12628,2023-08-16,2309.53,Debit
PMT935311,O10026,2023-10-23,1267.61,Credit
PMT627226,O18378,2023-08-01,1241.16,Bank
PMT927660,O10279,2023-11-04,787.32,Debit
PMT627761,O14964,2023-08-05,316.97,Debit
PMT617948,O13251,2023-03-28,2642.58,credit
PMT042430,O13101,2023-04-02,2733.66,Debit
PMT936510,O18890,2023-09-23,1872.68,Credit
PMT973195,O16430,2023-03-24,525.67,Credit
PMT304494,O15777,2023-09-03,937.37,PayPal
PMT442530,O12551,2023-03-11,818.22,Bank
PMT598181,O15987,2023-03-18,867.16,Credit
PMT491480,O18825,2023-07-31,1489.39,Bank
PMT269690,O12542,2023-05-12,2647.93,Debit
PMT513064,O12703,2023-10-26,1789.5,PayPal
PMT771068,O9961,2023-06-06,2999.59,Credit
PMT351332,O10560,2023-06-25,1153.85,Debit
PMT329875,O14903,2023-07-30,246.76,Bank
PMT245097,O14567,2023-05-16,425.27,credit
PMT101637,O14139,2023-09-28,837.76,credit
PMT544131,O16492,2023-03-16,567.92,Bank
PMT571138,O10647,2023-11-11,2078.76,Debit
PMT894124,O13004,2023-07-26,659.52,Bank
PMT376641,O18015,2023-04-21,1848.67,Credit
PMT116191,O13155,2023-08-19,248.96,PayPal
PMT127846,O17928,2023-11-19,2730.51,Debit
PMT778553,O14039,2023-08-06,2337.28,credit
PMT561827,O11646,2023-10-25,764.35,Debit
PMT576193,O15213,2023-10-07,2143.69,Bank
PMT302063,O14242,2023-09-26,1975.45,Debit
PMT358793,O17340,2023-10-16,135.78,credit
PMT174704,O9966,2023-07-22,788.59,Bank
PMT164941,O18541,2023-09-24,148.06,Bank
PMT828239,O15725,2023-11-01,1953.27,Credit
PMT561823,O13091,2023-04-11,2170.62,Bank
PMT373865,O11959,2023-09-30,700.19,Credit
PMT896891,O18653,2023-11-23,1379.16,PayPal
PMT514703,O10390,2023-09-11,1943.86,Bank
PMT759242,O12081,2023-11-15,1150.32,PayPal
PMT957315,O15555,2023-12-27,2252.68,Debit
PMT185357,O13119,2023-10-16,2202.9,Bank
PMT795662,O11138,2023-05-21,2345.66,Credit
PMT282606,O14754,2023-11-24,182.71,Debit
PMT016242,O14126,2023-01-03,268.37,Bank
PMT077844,O18782,2023-02-17,1045.85,Debit
PMT819454,O16198,2023-05-19,651.96,Debit
PMT363211,O15863,2023-01-21,1794.7,Credit
PMT818278,O11408,2023-05-25,268.16,credit
PMT758385,O12237,2023-10-03,2427.66,PayPal
PMT300144,O17270,2023-05-15,1933.46,Bank
PMT418135,O12324,2023-10-25,102.75,Bank
PMT114186,O12644,2023-07-21,2964.35,Credit
PMT218884,O16913,2023-12-29,591.98,PayPal
PMT381270,O18154,2023-07-05,1585.62,Debit
PMT269216,O15877,2023-09-28,1051.14,Credit
PMT908368,O11681,2023-08-28,2143.94,credit
PMT808598,O12966,2023-03-15,2176.12,PayPal
PMT467879,O11808,2023-08-22,2866.81,Debit
PMT196927,O12760,2023-03-21,632.12,Bank
PMT548144,O11054,2023-03-10,1827.12,PayPal
PMT821710,O15707,2023-08-19,114.82,credit
PMT750020,O18765,2023-07-30,2232.45,credit
PMT351491,O10198,2023-04-21,2793.01,Debit
PMT565600,O17055,2023-08-02,600.17,Bank
PMT124725,O13865,2023-04-11,1258.33,PayPal
PMT749443,O17336,2023-08-05,212.98,Debit
PMT595460,O16514,2023-08-31,2971.3,Debit
PMT797690,O16145,2023-12-19,2166.87,Credit
PMT722267,O11103,2023-07-25,2299.52,credit
PMT642168,O17712,2023-12-06,2019.9,Bank
PMT606409,O10445,2023-06-15,589.96,Credit
PMT280532,O16475,2023-08-11,291.11,Bank
PMT676185,O11258,2023-04-26,1997.47,Bank
PMT601195,O13571,2023-02-10,1273.99,credit
PMT034209,O16110,2023-10-27,2097.06,credit
PMT683267,O13035,2023-12-18,2524.44,PayPal
PMT809863,O17015,2023-03-13,2436.78,Bank
PMT560628,O15407,2023-02-26,1815.09,Debit
PMT414112,O10907,2023-07-05,1916.32,PayPal
PMT661745,O18011,2023-10-23,2066.12,PayPal
PMT658383,O11926,2023-03-12,215.85,Debit
PMT408024,O13537,2023-10-23,974.15,credit
PMT357006,O10691,2023-12-19,1266.09,credit
PMT164174,O15359,2023-07-17,96.58,PayPal
PMT628461,O14510,2023-08-05,2395.82,Bank
PMT589100,O12229,2023-03-14,221.68,credit
PMT153042,O14324,2023-08-08,2401.36,Bank
PMT948839,O16532,2023-03-05,1740.43,PayPal
PMT284255,O18894,2023-12-10,1439.9,Credit
PMT382001,O12939,2023-03-04,1465.82,credit
PMT146248,O13404,2023-01-19,516.61,credit
PMT890940,O9089,2023-09-13,2114.32,Bank
PMT674843,O11108,2023-03-26,590.85,Bank
PMT804582,O14827,2023-10-03,482.41,Bank
PMT371782,O11893,2023-07-08,2472.72,PayPal
PMT731898,O17512,2023-11-05,905.07,Debit
PMT757791,O12043,2023-05-03,864.89,credit
PMT024743,O18633,2023-12-07,2675.54,Debit
PMT615149,O9850,2023-09-19,2163.72,credit
PMT507169,O10074,2023-10-15,782.2,Debit
PMT276417,O13482,2023-09-02,98.54,PayPal
PMT988310,O10699,2023-11-01,934.93,credit
PMT901260,O12804,2023-07-18,2190.77,credit
PMT435592,O13576,2023-06-17,150.32,Bank
PMT262107,O18819,2023-07-17,2571.63,Bank
PMT530621,O11601,2023-01-04,202.95,credit
PMT347478,O13143,2023-11-01,2007.77,Credit
PMT178119,O17806,2023-05-16,2981.6,Debit
PMT032084,O18562,2023-08-24,676.98,Credit
PMT801881,O18630,2023-04-09,1267.04,Credit
PMT337367,O15365,2023-07-24,2798.15,Credit
PMT398759,O14717,2023-07-21,679.46,PayPal
PMT979236,O10071,2023-02-08,2907.76,PayPal
PMT198138,O14236,2023-03-18,2835.5,Bank
PMT021408,O11422,2023-02-22,263.43,Credit
PMT880838,O11951,2023-07-02,1702.03,Debit
PMT374753,O11380,2023-06-10,331.98,Bank
PMT209260,O12777,2023-08-24,2305.2,Debit
PMT537019,O18708,2023-01-04,2049.86,PayPal
PMT517875,O9026,2023-05-25,1647.5,Debit
PMT518575,O16315,2023-10-11,734.55,Credit
PMT463972,O9223,2023-11-29,1367.43,Bank
PMT566400,O11627,2023-07-03,2221.66,Credit
PMT183288,O13775,2023-06-27,422.26,credit
PMT893582,O17217,2023-04-07,1694.75,PayPal
PMT629224,O15305,2023-03-02,325.36,PayPal
PMT259413,O10144,2023-09-10,883.37,Credit
PMT703700,O18514,2023-05-02,2218.7,Credit
PMT180320,O14842,2023-11-17,1038.78,Bank
PMT817397,O11707,2023-07-23,38.83,credit
PMT423330,O12830,2023-07-16,1876.32,PayPal
PMT506049,O13227,2023-07-12,942.2,credit
PMT160636,O11965,2023-12-13,404.79,Credit
PMT850424,O10783,2023-04-06,144.24,Credit
PMT802963,O9867,2023-03-15,1631.22,Debit
PMT123204,O15107,2023-03-25,2002.0,Credit
PMT881305,O14385,2023-08-13,1702.42,credit
PMT596053,O17807,2023-07-16,2568.03,Credit
PMT794608,O12104,2023-12-19,1561.45,credit
PMT234725,O10949,2023-12-05,670.06,credit
PMT320858,O14180,2023-03-10,1238.23,Bank
PMT745691,O18904,2023-11-24,2214.63,Credit
PMT307529,O11954,2023-01-09,1846.15,Debit
PMT992813,O12867,2023-08-05,906.31,credit
PMT570351,O12248,2023-07-21,1474.78,credit
PMT939337,O14960,2023-07-07,880.0,Bank
PMT124643,O12404,2023-02-25,668.51,Debit
PMT123089,O18188,2023-09-25,2746.15,Debit
PMT960173,O12736,2023-06-09,2465.75,PayPal
PMT552745,O11186,2023-02-13,740.05,Debit
PMT628843,O9998,2023-02-10,2515.97,Bank
PMT496782,O14706,2023-07-23,1964.42,Credit
PMT998174,O17688,2023-12-11,1092.82,Bank
PMT840096,O15323,2023-09-19,416.02,credit
PMT399540,O10582,2023-03-08,1071.4,Credit
PMT983932,O16205,2023-04-23,1390.45,Bank
PMT992357,O13372,2023-03-09,1562.92,Debit
PMT870330,O17000,2023-05-17,1945.83,Credit
PMT946985,O18427,2023-12-22,77.89,Bank
PMT289116,O13830,2023-11-11,516.15,Debit
PMT804077,O17210,2023-02-02,1076.6,Bank
PMT230653,O16299,2023-06-03,2727.26,Bank
PMT798663,O14059,2023-04-21,2089.4,credit
PMT647542,O12015,2023-04-26,2475.44,Bank
PMT849487,O16498,2023-11-09,1058.13,Debit
PMT965811,O13542,2023-12-30,1073.37,Credit
PMT965840,O17464,2023-12-23,808.34,credit
PMT004023,O9691,2023-03-01,1235.34,Debit
PMT256190,O15574,2023-12-23,1804.86,PayPal
PMT750555,O18018,2023-01-18,2994.1,Credit
PMT049329,O10750,2023-02-11,500.78,PayPal
PMT753946,O14462,2023-02-19,2598.19,Credit
PMT057119,O13138,2023-02-12,144.45,Credit
PMT091169,O12279,2023-05-14,1337.45,Debit
PMT775298,O15865,2023-12-06,1778.93,Debit
PMT834995,O18606,2023-01-19,2823.74,Debit
PMT475570,O9444,2023-09-30,1265.25,Bank
PMT406862,O9799,2023-09-25,2829.75,Bank
PMT528823,O15890,2023-06-30,1242.84,Debit
PMT440986,O15030,2023-07-17,1107.12,Debit
PMT559557,O11504,2023-10-18,2425.65,Debit
PMT721587,O9498,2023-05-31,1780.08,PayPal
PMT815262,O10709,2023-01-22,2832.64,credit
PMT739094,O16259,2023-06-21,1110.13,credit
PMT066491,O17026,2023-12-04,1717.67,Bank
PMT306706,O17846,2023-02-25,2230.73,Debit
PMT496061,O15937,2023-03-12,1771.63,credit
PMT847310,O17303,2023-12-21,2854.46,Bank
PMT965931,O10046,2023-04-11,1220.1,Bank
PMT659146,O10160,2023-02-01,2067.85,PayPal
PMT365591,O12103,2023-11-05,2261.4,credit
PMT491485,O17481,2023-02-19,732.0,Bank
PMT360144,O9009,2023-02-01,2078.79,credit
PMT859954,O9979,2023-05-26,756.66,credit
PMT011894,O12257,2023-12-01,2678.25,Bank
PMT398043,O17409,2023-06-22,2518.44,PayPal
PMT231037,O13026,2023-07-22,894.44,PayPal
PMT210803,O15539,2023-07-27,2649.15,Debit
PMT915190,O18535,2023-04-08,1715.2,credit
PMT575564,O18130,2023-10-17,2722.86,Bank
PMT403414,O11719,2023-04-26,679.47,Debit
PMT079514,O12610,2023-09-25,1681.98,Bank
PMT370165,O15709,2023-09-13,2027.41,credit
PMT027291,O15065,2023-10-04,619.5,Debit
PMT379593,O14520,2023-08-17,1292.71,credit
PMT946523,O9584,2023-12-15,377.01,Credit
PMT090081,O15553,2023-08-13,1147.41,Credit
PMT967968,O14829,2023-07-04,1857.22,PayPal
PMT319876,O16311,2023-03-07,2122.76,Bank
PMT898617,O17799,2023-08-17,1837.86,Credit
PMT347488,O11369,2023-04-07,442.68,PayPal
PMT991698,O10763,2023-11-21,1741.95,credit
PMT362708,O13285,2023-04-04,2047.1,credit
PMT934806,O18611,2023-09-28,1514.6,Debit
PMT999304,O12965,2023-07-04,570.4,PayPal
PMT637448,O15150,2023-12-14,2284.69,Debit
PMT578360,O16995,2023-09-02,1242.79,Bank
PMT108481,O14618,2023-08-01,2846.42,credit
PMT733327,O13397,2023-10-26,2491.85,Credit
PMT110901,O14811,2023-11-19,2909.15,PayPal
PMT008397,O18761,2023-08-27,1600.79,PayPal
PMT748638,O18185,2023-06-29,2137.33,Debit
PMT270385,O10500,2023-11-19,1934.85,Credit
PMT230954,O15320,2023-12-04,1758.59,credit
PMT963857,O11563,2023-11-11,119.16,Bank
PMT430351,O16119,2023-04-08,2932.44,Credit
PMT513096,O16368,2023-12-13,125.3,Debit
PMT174741,O14526,2023-11-01,772.61,credit
PMT190131,O16898,2023-09-21,2365.1,Debit
PMT655521,O14699,2023-07-11,1043.23,PayPal
PMT945450,O17999,2023-01-12,2498.85,credit
PMT698617,O16027,2023-01-13,896.85,Bank
PMT508337,O17937,2023-05-02,1849.97,credit
PMT720591,O15891,2023-10-12,788.12,Bank
PMT795863,O18358,2023-11-22,719.79,PayPal
PMT664020,O18357,2023-11-14,2974.98,Credit
PMT894596,O10151,2023-10-18,2702.55,PayPal
PMT277465,O13165,2023-11-22,2265.8,Debit
PMT986709,O15286,2023-11-02,1092.38,Bank
PMT903648,O13863,2023-01-23,1837.09,Debit
PMT249535,O13589,2023-11-04,337.99,Credit
PMT783575,O17135,2023-07-19,1882.56,Bank
PMT421670,O18284,2023-01-04,1644.06,Credit
PMT558967,O10426,2023-12-01,758.49,Bank
PMT280144,O13080,2023-03-11,2406.29,Debit
PMT538749,O9262,2023-02-25,1928.01,Credit
PMT453486,O17136,2023-07-27,999.13,Credit
PMT971240,O17828,2023-10-29,1659.84,credit
PMT846347,O12775,2023-06-07,254.13,Bank
PMT276000,O15302,2023-05-27,273.1,Debit
PMT478646,O9555,2023-08-28,2456.13,Credit
PMT367334,O14088,2023-07-19,61.21,Debit
PMT269863,O16837,2023-10-01,1229.97,credit
PMT273309,O12593,2023-11-13,2668.45,Bank
PMT388183,O17812,2023-05-07,1520.7,PayPal
PMT296829,O16174,2023-12-19,538.42,credit
PMT014910,O10802,2023-08-11,616.0,credit
PMT577142,O9038,2023-10-15,2606.2,Bank
PMT367523,O14514,2023-11-01,755.96,Bank
PMT687970,O16166,2023-02-12,2128.23,Credit
PMT867259,O15629,2023-01-12,2853.06,Bank
PMT560372,O13680,2023-11-22,2074.87,PayPal
PMT148053,O11975,2023-01-25,149.35,credit
PMT929803,O13465,2023-08-29,355.01,Bank
PMT148779,O16242,2023-01-20,1191.74,PayPal
PMT855728,O14841,2023-08-30,1110.88,Bank
PMT349284,O14241,2023-01-17,1817.9,Bank
PMT434547,O10460,2023-07-01,747.67,Credit
PMT040747,O17963,2023-08-10,44.67,Bank
PMT615458,O16991,2023-08-03,50.6,Debit
PMT029647,O16910,2023-11-07,2667.16,Debit
PMT063491,O17742,2023-05-05,1725.73,Bank
PMT509728,O17051,2023-11-27,2395.41,PayPal
PMT318947,O10548,2023-03-03,1831.3,credit
PMT049313,O17323,2023-06-26,2869.76,PayPal
PMT545748,O9918,2023-10-18,2491.09,Credit
PMT756550,O12166,2023-02-07,938.96,Debit
PMT731150,O16662,2023-10-31,1867.84,Credit
PMT853464,O18872,2023-11-28,226.2,Bank
PMT189255,O15970,2023-05-18,1151.56,PayPal
PMT390621,O10997,2023-01-28,141.89,Bank
PMT307932,O16086,2023-04-03,1914.09,credit
PMT589931,O15122,2023-10-30,1176.0,credit
PMT496629,O14058,2023-02-02,130.16,Debit
PMT092696,O10771,2023-11-10,142.72,Bank
PMT907831,O11393,2023-12-19,2277.47,Debit
PMT275454,O15276,2023-02-08,1546.45,Credit
PMT057974,O9773,2023-03-20,630.72,Credit
PMT814363,O10549,2023-04-01,466.36,Debit
PMT902181,O11806,2023-01-30,1544.52,Debit
PMT616842,O11031,2023-11-27,1849.49,Debit
PMT927455,O10411,2023-09-07,1911.11,Credit
PMT139621,O14775,2023-02-07,1031.53,PayPal
PMT288911,O12881,2023-10-02,1332.98,credit
PMT911623,O18356,2023-09-20,1902.39,credit
PMT044321,O12448,2023-12-29,1844.4,Credit
PMT146133,O11235,2023-12-07,2380.76,Credit
PMT607038,O18694,2023-09-06,1492.28,PayPal
PMT399541,O9806,2023-03-07,959.33,PayPal
PMT516933,O13909,2023-11-15,2505.27,Credit
PMT061952,O10758,2023-07-16,2007.97,PayPal
PMT087474,O18961,2023-12-21,1418.8,Debit
PMT670868,O15520,2023-09-28,470.11,Debit
PMT137359,O16261,2023-10-06,1550.02,credit
PMT738687,O16296,2023-02-07,2673.9,Debit
PMT214750,O10920,2023-06-16,2953.7,credit
PMT930965,O10128,2023-10-17,1237.89,Credit
PMT121221,O11639,2023-11-20,129.25,credit
PMT572420,O9618,2023-05-10,2037.78,PayPal
PMT125562,O16988,2023-03-22,1178.97,credit
PMT558844,O11252,2023-06-16,1847.68,Credit
PMT186868,O11449,2023-09-28,2807.97,PayPal
